timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:46:45.483Z,poise ,y,p,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:46.218Z,poise ,p,p,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:46.442Z,poise ,o,o,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:46.618Z,poise ,u,i,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:47.458Z,poise ,i,i,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:47.555Z,poise ,s,s,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:47.735Z,poise ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:47.890Z,poise , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:48.333Z,bully ,b,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:48.475Z,bully ,u,u,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:48.950Z,bully ,j,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:49.123Z,bully ,j,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:50.318Z,bully ,l,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:50.490Z,bully ,l,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:50.627Z,bully ,y,y,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:50.842Z,bully , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:51.290Z,penal ,p,p,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:51.426Z,penal ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:51.579Z,penal ,n,n,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:51.755Z,penal ,a,a,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:51.996Z,penal ,l,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:52.211Z,penal , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:53.227Z,blunt ,b,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:53.502Z,blunt ,l,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:53.703Z,blunt ,u,u,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:54.258Z,blunt ,n,n,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:54.420Z,blunt ,t,t,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:54.601Z,blunt , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:54.826Z,annoy ,a,a,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:54.933Z,annoy ,n,n,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:55.126Z,annoy ,n,n,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:55.356Z,annoy ,y,o,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:56.178Z,annoy ,o,o,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:56.292Z,annoy ,y,y,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:56.473Z,annoy , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:57.242Z,beard ,b,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:57.377Z,beard ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:57.644Z,beard ,a,a,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:58.227Z,beard ,r,r,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:58.362Z,beard ,d,d,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:58.741Z,beard , , ,semicolemakdh,4,words,10,wordle,null
