timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:46:44.916,jumbo ,b,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.839000
2022-12-12 07:46:45.073,jumbo ,o,o,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.157000
2022-12-12 07:46:45.214,jumbo , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.141000
2022-12-12 07:46:45.483,poise ,y,p,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.269000
2022-12-12 07:46:46.218,poise ,p,p,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.735000
2022-12-12 07:46:46.442,poise ,o,o,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.224000
2022-12-12 07:46:46.618,poise ,u,i,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.176000
2022-12-12 07:46:47.458,poise ,i,i,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.840000
2022-12-12 07:46:47.555,poise ,s,s,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.097000
2022-12-12 07:46:47.735,poise ,e,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.180000
2022-12-12 07:46:47.890,poise , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.155000
2022-12-12 07:46:48.333,bully ,b,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.443000
2022-12-12 07:46:48.475,bully ,u,u,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.142000
2022-12-12 07:46:48.950,bully ,j,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.475000
2022-12-12 07:46:49.123,bully ,j,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.173000
2022-12-12 07:46:50.318,bully ,l,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:01.195000
2022-12-12 07:46:50.490,bully ,l,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.172000
2022-12-12 07:46:50.627,bully ,y,y,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.137000
2022-12-12 07:46:50.842,bully , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.215000
2022-12-12 07:46:51.290,penal ,p,p,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.448000
2022-12-12 07:46:51.426,penal ,e,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.136000
2022-12-12 07:46:51.579,penal ,n,n,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.153000
2022-12-12 07:46:51.755,penal ,a,a,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.176000
2022-12-12 07:46:51.996,penal ,l,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.241000
2022-12-12 07:46:52.211,penal , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.215000
2022-12-12 07:46:53.227,blunt ,b,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:01.016000
2022-12-12 07:46:53.502,blunt ,l,l,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.275000
2022-12-12 07:46:53.703,blunt ,u,u,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.201000
2022-12-12 07:46:54.258,blunt ,n,n,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.555000
2022-12-12 07:46:54.420,blunt ,t,t,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.162000
2022-12-12 07:46:54.601,blunt , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.181000
2022-12-12 07:46:54.826,annoy ,a,a,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.225000
2022-12-12 07:46:54.933,annoy ,n,n,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.107000
2022-12-12 07:46:55.126,annoy ,n,n,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.193000
2022-12-12 07:46:55.356,annoy ,y,o,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.230000
2022-12-12 07:46:56.178,annoy ,o,o,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.822000
2022-12-12 07:46:56.292,annoy ,y,y,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.114000
2022-12-12 07:46:56.473,annoy , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.181000
2022-12-12 07:46:57.242,beard ,b,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.769000
2022-12-12 07:46:57.377,beard ,e,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.135000
