timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:52:17.946Z,face,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:25.719Z,want,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:25.823Z,want,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:26.072Z,want,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:26.734Z,want,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:26.929Z,great, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:27.710Z,great,g,g,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:28.767Z,great,r,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:28.870Z,great,a,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:29.863Z,great,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:30.160Z,great,e,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:30.865Z,great,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:31.411Z,great,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:31.545Z,house, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:34.302Z,house,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:35.617Z,house,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:35.833Z,house,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:36.901Z,house,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:37.038Z,house,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:37.158Z,large, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:37.802Z,large,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:38.174Z,large,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:38.920Z,large,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:39.726Z,large,g,g,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:39.921Z,large,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:40.234Z,with, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:41.137Z,with,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:42.047Z,with,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:42.288Z,with,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:43.224Z,with,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:43.456Z,end, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:44.077Z,end,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:44.273Z,end,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:46.767Z,end,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:47.047Z,last, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T10:02:47.785Z,last,l,l,monkeytype,semicolemak,words,10,english,null
